,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,BLOCK,,,,LOT,,
11201,,,62,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,236,,,,108,,

11201,,,64,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,236,,,,109,,

11201,,,66,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,236,,,,110,,

11201,,,70,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,,236,,,,112,,

11201,,,40,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,,238,,,,65,,

11201,,,67 TO 85,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,,250,,,,7501,,

11201,,,156,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,267,,,,31,,

11201,,,169,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,276,,,,23,,

11201,,,172,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,267,,,,39,,

11201,,,173,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,276,,,,21,,

11201,,,186 TO 202,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,275,,,,1,,

11201,,,203,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,292,,,,7,,

11201,,,211,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,292,,,,2,,

11201,,,212,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,285,,,,29,,

11201,,,265,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,307,,,,6,,

11201,,,286,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,306,,,,24,,

11201,,,288,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,306,,,,25,,

11201,,,290,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,306,,,,26,,

11201,,,302,,,,CLINTON,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,311,,,,27,,

11201,,,8 TO 12,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,17,,

11201,,,19,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,259,,,,19,,

11201,,,20,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,17,,

11201,,,28 TO 34,,,,COLUMBIA,,,,,,,PL,,,,34,,,,JORALEMON,,,,,ST,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,17,,

11201,,,38,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,46,,

11201,,,40,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,47,,

11201,,,42,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,48,,

11201,,,43,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,J-51,,,259,,,,8,,

11201,,,44,,,,COLUMBIA,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,258,,,,48,,

11201,,,115,,,,COLUMBIA,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,309,,,,1,,

11201,,,141,,,,COLUMBIA,,,,,,,HTS,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,234,,,,37,,

11201,,,147,,,,COLUMBIA,,,,,,,HTS,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,234,,,,35,,

11201,,,150,,,,COLUMBIA,,,,,,,HTS,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,208,,,,203,,

11201,,,151,,,,COLUMBIA,,,,,,,HTS,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,234,,,,33,,

11201,,,167 TO 171,,,,COLUMBIA,,,,,,,HTS,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,234,,,,24,,

